Min X value: -12.95802
Min Y value: 0
Min Z value: -12.9573
Max X value: 2004.363
Max Y value: 0
Max Z value: 1997.785
Key: charpos in X , Y , Z , Time since start capture
1113.584 , 34.70373 , 669.866 , 7.72
1113.411 , 34.63173 , 669.6208 , 7.74
1113.238 , 34.55173 , 669.3757 , 7.76
1113.065 , 34.46373 , 669.1306 , 7.78
1112.892 , 34.41636 , 668.8854 , 7.8
1112.885 , 34.40836 , 668.5855 , 7.82
1112.877 , 34.39236 , 668.2856 , 7.84
1112.869 , 34.373 , 667.9857 , 7.86
1112.866 , 34.37951 , 667.6857 , 7.88
1112.87 , 34.38235 , 667.3858 , 7.9
1112.874 , 34.38245 , 667.0858 , 7.92
1112.882 , 34.38264 , 666.7859 , 7.94
1112.894 , 34.38292 , 666.4861 , 7.96
1112.906 , 34.3832 , 666.1864 , 7.98
1112.934 , 34.38385 , 665.8877 , 8
1112.962 , 34.3845 , 665.589 , 8.02
1113.013 , 34.3857 , 665.2933 , 8.04
1113.071 , 34.38707 , 664.9991 , 8.059999
1113.134 , 34.38854 , 664.7058 , 8.08
1113.2 , 34.3901 , 664.4132 , 8.099999
1113.275 , 34.39831 , 664.1225 , 8.12
1113.36 , 34.40568 , 663.8349 , 8.139999
1113.496 , 34.42226 , 663.5677 , 8.16
1113.643 , 34.43985 , 663.3061 , 8.179999
1113.793 , 34.45778 , 663.0464 , 8.2
1113.944 , 34.4757 , 662.7867 , 8.22
1114.094 , 34.49363 , 662.527 , 8.24
1114.244 , 34.51155 , 662.2674 , 8.26
1114.394 , 34.52948 , 662.0077 , 8.28
1114.545 , 34.54742 , 661.748 , 8.3
1114.695 , 34.5609 , 661.4883 , 8.32
1114.845 , 34.56538 , 661.2286 , 8.34
1114.995 , 34.56985 , 660.9689 , 8.36
1115.145 , 34.57433 , 660.7092 , 8.38
1115.296 , 34.5788 , 660.4496 , 8.4
1115.446 , 34.58328 , 660.1899 , 8.42
1115.593 , 34.58551 , 659.9283 , 8.44
1115.739 , 34.58725 , 659.6666 , 8.46
1115.886 , 34.58899 , 659.405 , 8.48
1116.033 , 34.59072 , 659.1434 , 8.5
1116.18 , 34.59111 , 658.8818 , 8.52
1116.327 , 34.59093 , 658.6201 , 8.54
1116.473 , 34.59075 , 658.3585 , 8.559999
